X,train_f1_score,test_f1_score,train_accuracy,test_accuracy,train_recall,test_recall,train_precision,test_precision,train_roc,test_roc,method,feature,type
0,0.965034965034965,0.983870967741936,0.984076433121019,0.991869918699187,0.971830985915493,0.983870967741936,0.958333333333333,0.983870967741936,0.979742653451574,0.98921809256662,knn,basic,tes
1,0.978723404255319,0.991869918699187,0.990445859872612,0.995934959349594,0.971830985915493,0.983870967741936,0.985714285714286,1,0.983857879789022,0.991935483870968,rf,basic,tes
2,0.971830985915493,0.983870967741936,0.987261146496815,0.991869918699187,0.971830985915493,0.983870967741936,0.971830985915493,0.983870967741936,0.981800266620298,0.98921809256662,lr,basic,tes
3,0.978723404255319,0.991869918699187,0.990445859872612,0.995934959349594,0.971830985915493,0.983870967741936,0.985714285714286,1,0.983857879789022,0.991935483870968,svm,basic,tes
4,0.48695652173913,0.49438202247191,0.812101910828026,0.817073170731707,0.394366197183099,0.354838709677419,0.636363636363636,0.814814814814815,0.664261287891961,0.663832398316971,knn,internal,tes
5,0.934306569343066,0.520833333333333,0.971337579617834,0.813008130081301,0.901408450704225,0.403225806451613,0.96969696969697,0.735294117647059,0.946588999014664,0.677156381486676,rf,internal,tes
6,0.490566037735849,0.482758620689655,0.828025477707006,0.817073170731707,0.366197183098592,0.338709677419355,0.742857142857143,0.84,0.664580073030777,0.658485273492286,lr,internal,tes
7,0.620689655172414,0.583333333333333,0.859872611464968,0.83739837398374,0.507042253521127,0.451612903225806,0.8,0.823529411764706,0.735002608242045,0.709502103786816,svm,internal,tes
8,0.964539007092198,0.976,0.984076433121019,0.98780487804878,0.957746478873239,0.983870967741936,0.971428571428571,0.968253968253968,0.974758013099171,0.986500701262272,knn,all,tes
9,0.985714285714286,0.991869918699187,0.993630573248408,0.995934959349594,0.971830985915493,0.983870967741936,1,1,0.985915492957746,0.991935483870968,rf,all,tes
10,0.979020979020979,0.976,0.990445859872612,0.98780487804878,0.985915492957746,0.983870967741936,0.972222222222222,0.968253968253968,0.988842520141425,0.986500701262272,lr,all,tes
11,0.985915492957746,0.983870967741936,0.993630573248408,0.991869918699187,0.985915492957746,0.983870967741936,0.985915492957746,0.983870967741936,0.990900133310149,0.98921809256662,svm,all,tes
Without ML,0,0,0,0.252032520325203,0,0,0,0,0,0,Without ML,Without ML,tes
0,0.793478260869565,0.76530612244898,0.819905213270142,0.76530612244898,1,1,0.657657657657658,0.619834710743802,0.86231884057971,0.809917355371901,knn,basic,tss
1,0.793478260869565,0.76530612244898,0.819905213270142,0.76530612244898,1,1,0.657657657657658,0.619834710743802,0.86231884057971,0.809917355371901,rf,basic,tss
2,0.793478260869565,0.76530612244898,0.819905213270142,0.76530612244898,1,1,0.657657657657658,0.619834710743802,0.86231884057971,0.809917355371901,lr,basic,tss
3,0.793478260869565,0.76530612244898,0.819905213270142,0.76530612244898,1,1,0.657657657657658,0.619834710743802,0.86231884057971,0.809917355371901,svm,basic,tss
4,0.895104895104895,0.845070422535211,0.928909952606635,0.887755102040816,0.876712328767123,0.8,0.914285714285714,0.895522388059702,0.916617033948779,0.871074380165289,knn,internal,tss
5,0.957142857142857,0.878378378378378,0.971563981042654,0.908163265306122,0.917808219178082,0.866666666666667,1,0.89041095890411,0.958904109589041,0.900275482093664,rf,internal,tss
6,0.916666666666667,0.88,0.943127962085308,0.908163265306122,0.904109589041096,0.88,0.929577464788732,0.88,0.933938852491562,0.902809917355372,lr,internal,tss
7,0.937062937062937,0.893333333333333,0.957345971563981,0.918367346938776,0.917808219178082,0.893333333333333,0.957142857142857,0.893333333333333,0.94803454437165,0.913608815426997,svm,internal,tss
8,0.891891891891892,0.900662251655629,0.924170616113744,0.923469387755102,0.904109589041096,0.906666666666667,0.88,0.894736842105263,0.919446098868374,0.920275482093664,knn,all,tss
9,0.986111111111111,0.959459459459459,0.990521327014218,0.969387755102041,0.972602739726027,0.946666666666667,1,0.972602739726027,0.986301369863014,0.965068870523416,rf,all,tss
10,0.931506849315068,0.945945945945946,0.95260663507109,0.959183673469388,0.931506849315068,0.933333333333333,0.931506849315068,0.958904109589041,0.947637482628549,0.954269972451791,lr,all,tss
11,0.958333333333333,0.972972972972973,0.971563981042654,0.979591836734694,0.945205479452055,0.96,0.971830985915493,0.986301369863014,0.965356362914433,0.975867768595041,svm,all,tss
Without ML,0,0,0,0.38265306122449,0,0,0,0,0,0,Without ML,Without ML,tss
