gene	chr	strand	Num_TSS	Num_TES	TSS_pos	TES_pos
A1BG	chr19	-	1	1	58347625	58346867
A2MP1	chr12	-	1	1	9240497	9239324
AAAS	chr12	-	1	1	53321610	53307461
AAGAB	chr15	-	1	1	67254661	67201674
AAMP	chr2	-	1	1	218270137	218264130
AAR2	chr20	+	1	1	36236478	36256931
AARSD1	chr17	-	1	1	42964454	42950528
AASDHPPT	chr11	+	1	1	106077662	106096986
AASS	chr7	-	1	2	122144249	122073546
AATF	chr17	+	1	1	36948978	37056870
ABCA7	chr19	+	1	1	1038997	1065567
ABCD4	chr14	-	1	1	74302934	74285973
ABCF1	chr6	+	1	5	30571451	30591311
ABCF2	chr7	-	1	1	151227192	151213511
ABCF3	chr3	+	1	1	184186199	184194005
ABHD10	chr3	+	1	1	111979034	111991967
ABHD12	chr20	-	1	1	25390835	25300214
ABHD14A-ACY1	chr3	+	2	1	51983535	51989195
ABRACL	chr6	+	4	2	139028745	139043296
ABT1	chr6	+	1	1	26596976	26599143
AC000120.2	chr7	-	1	1	92134450	92112161
AC002094.1	chr17	+	2	1	28357647	28361466
AC002116.1	chr19	-	2	1	36014207	36009141
AC002985.1	chr19	-	1	1	18919385	18929205
AC003688.1	chr17	-	1	1	7262478	7260141
AC004148.2	chr17	-	1	2	5433768	5432779
AC004475.1	chr19	-	1	1	19320509	19276517
AC004687.2	chr17	-	1	2	58352169	58345912
AC004832.3	chr22	+	2	1	30425789	30429052
AC004922.1	chr7	+	3	3	99325910	99366259
AC004967.2	chr7	-	1	1	97972321	97966596
AC005154.5	chr7	-	1	1	30504829	30496625
AC005258.1	chr19	+	3	3	2269525	2273239
AC005324.4	chr17	+	1	1	15699752	15720782
AC005363.1	chr16	-	1	1	1964826	1962063
AC005726.1	chr17	-	3	4	28552626	28546710
AC005833.1	chr12	+	1	1	4649117	4687231
AC005943.1	chr19	-	1	5	1605434	1598049
AC006059.2	chr3	-	1	2	42804480	42784303
AC006064.6	chr12	-	2	3	6581113	6556873
AC006329.1	chr7	+	2	1	101308325	101311334
AC006538.2	chr19	-	2	1	2740017	2732527
AC007192.1	chr19	+	1	4	18173813	18178118
AC007969.1	chr2	-	1	1	171517738	171517236
AC007998.2	chr18	-	2	1	35497929	35468336
AC008012.1	chr12	+	4	2	4321247	4305350
AC008038.1	chr7	-	1	1	133035941	133034526
AC008575.1	chr5	+	1	1	112861287	112867906
AC008695.1	chr5	-	1	1	131516105	131641715
AC008763.2	chr19	+	1	1	7629818	7631617
AC008763.3	chr19	+	3	1	7680857	7682854
AC008764.4	chr19	-	1	2	16660132	16646569
AC008770.4	chr19	+	1	1	11987644	12003809
AC008982.1	chr19	-	1	2	38831789	38836403
AC009052.1	chr16	+	1	1	57462679	57461265
AC009070.1	chr16	-	1	3	81006886	80975805
AC009133.6	chr16	+	2	1	29816476	29820111
AC009163.4	chr16	-	1	3	75433470	75414610
AC009446.1	chr8	+	2	1	71675283	71703675
AC009779.3	chr12	+	4	1	55716068	55719701
AC009879.2	chr8	+	1	1	66429030	66430718
AC010132.3	chr7	-	2	2	42932174	42917413
AC010197.2	chr12	-	4	3	21657839	21635344
AC010323.1	chr19	-	2	2	8308310	8311361
AC010422.5	chr19	-	1	1	12669411	12668073
AC010422.8	chr19	-	2	2	12669411	12668073
AC010463.1	chr19	+	1	1	17267443	17279333
AC010616.2	chr19	-	1	1	41959321	41956686
AC010618.1	chr19	+	1	1	17511652	17521286
AC010642.2	chr19	-	1	1	58326885	58314789
AC011447.3	chr19	-	1	1	20238441	20220600
AC011448.1	chr19	+	1	1	19516225	19528198
AC011455.2	chr19	-	1	1	38930758	38915269
AC011462.2	chr19	+	1	1	41397818	41425001
AC011479.1	chr19	+	2	3	38304251	38292448
AC011481.1	chr19	+	1	1	44891263	44903678
AC011481.4	chr19	+	2	1	44914708	44909392
AC011511.1	chr19	-	1	1	10315880	10310217
AC011511.4	chr19	-	1	1	10315880	10316215
AC012146.1	chr17	+	1	1	5111957	5114375
AC012184.2	chr16	+	1	1	70299194	70333823
AC012254.2	chr18	-	3	3	47176362	47156033
AC012313.3	chr19	-	1	1	58347625	58346867
AC012645.1	chr16	+	1	1	30097084	30104113
AC013394.1	chr15	+	1	1	92900324	92898082
AC013489.1	chr15	-	1	1	88467388	88459480
AC013717.1	chr2	+	1	1	44168887	44231462
AC015813.2	chr17	-	1	1	58007246	58003495
AC016596.2	chr5	+	1	1	55944615	55945031
AC016876.2	chr17	+	2	4	7572826	7578623
AC017002.6	chr2	-	1	1	111494935	111429323
AC018523.2	chr11	-	2	2	14520353	14504877
AC018630.2	chr12	-	1	1	11171609	10880967
AC018738.1	chr2	+	1	1	231256066	231256446
AC020915.1	chr19	+	1	2	58305393	58315203
AC020915.5	chr19	+	2	4	58305393	58315203
AC021087.5	chr5	+	3	2	271646	314973
AC022400.8	chr10	-	1	1	73744265	73742965
AC022506.1	chr12	-	1	1	57520511	57516594
AC023055.1	chr12	-	1	1	55817722	55757291
AC023509.1	chr12	+	2	1	53441762	53446637
AC024592.3	chr19	-	1	1	5903734	5894677
AC025165.3	chr12	+	1	1	57782787	57796736
AC026362.1	chr12	+	2	2	122980703	122982907
AC026461.1	chr16	+	1	1	56682470	56684194
AC026464.6	chr16	-	1	1	69330588	69328621
AC026954.2	chr17	-	2	3	7315351	7312661
AC034102.2	chr12	+	2	2	56104566	56106694
AC036214.3	chr8	-	1	3	80030263	79918719
AC037459.1	chr8	+	1	1	22589290	22594290
AC040162.1	chr16	-	1	1	67935673	67934511
AC048338.1	chr12	-	2	2	122226024	122207778
AC058822.1	chr4	+	1	1	53377641	53459614
AC068533.4	chr7	+	1	1	66114847	66092953
AC068547.1	chr2	-	2	1	151828474	151802619
AC068580.4	chr11	-	3	1	1763927	1752755
AC069257.3	chr3	-	2	1	196318240	196291223
AC069288.1	chr7	-	1	2	2242186	2234293
AC069503.2	chr12	+	1	1	121888840	121916641
AC073283.3	chr2	-	2	4	47176511	47160166
AC073508.2	chr17	-	1	3	40647840	40628807
AC073610.2	chr12	-	2	3	48925520	48936210
AC073610.3	chr12	-	4	3	48957473	48936210
AC073896.1	chr12	-	3	3	56315988	56310439
